iter	Passed	Remaining
0	40	14134
1	56	9883
2	77	8948
3	96	8383
4	115	7968
5	134	7717
6	154	7548
7	173	7401
8	193	7344
9	212	7226
10	234	7228
11	265	7471
12	292	7585
13	317	7612
14	342	7641
15	367	7663
16	384	7522
17	428	7897
18	448	7804
19	465	7678
20	480	7530
21	496	7404
22	512	7281
23	520	7068
24	539	7009
25	560	6978
26	576	6899
27	594	6832
28	613	6795
29	632	6746
30	650	6693
31	668	6643
32	686	6593
33	699	6502
34	715	6435
35	730	6373
36	746	6317
37	762	6258
38	777	6198
39	793	6147
40	808	6093
41	824	6046
42	840	5999
43	855	5952
44	871	5904
45	887	5868
46	903	5824
47	918	5778
48	933	5736
49	954	5728
50	977	5729
51	1001	5737
52	1024	5739
53	1060	5812
54	1081	5801
55	1102	5787
56	1121	5763
57	1139	5737
58	1161	5730
59	1169	5652
60	1185	5615
61	1199	5571
62	1214	5533
63	1232	5509
64	1248	5476
65	1264	5439
66	1278	5402
67	1285	5329
68	1300	5296
69	1315	5263
70	1330	5230
71	1347	5204
72	1364	5177
73	1379	5146
74	1394	5114
75	1401	5052
76	1410	5001
77	1431	4993
78	1452	4981
79	1468	4954
80	1475	4901
81	1484	4851
82	1505	4844
83	1522	4821
84	1541	4806
85	1566	4808
86	1584	4789
87	1605	4779
88	1623	4760
89	1630	4710
90	1647	4689
91	1664	4669
92	1680	4644
93	1696	4620
94	1712	4596
95	1728	4572
96	1744	4548
97	1760	4526
98	1776	4504
99	1792	4481
100	1809	4461
101	1825	4438
102	1834	4400
103	1849	4375
104	1867	4357
105	1876	4320
106	1891	4296
107	1907	4273
108	1922	4251
109	1938	4229
110	1950	4200
111	1971	4188
112	1987	4168
113	2003	4147
114	2019	4127
115	2036	4107
116	2054	4091
117	2070	4070
118	2085	4049
119	2101	4028
120	2122	4017
121	2139	3999
122	2157	3981
123	2175	3964
124	2192	3946
125	2215	3939
126	2235	3926
127	2253	3908
128	2270	3890
129	2290	3875
130	2306	3856
131	2327	3844
132	2343	3823
133	2361	3806
134	2382	3795
135	2399	3775
136	2404	3738
137	2419	3717
138	2433	3694
139	2451	3677
140	2467	3657
141	2483	3637
142	2498	3616
143	2508	3588
144	2517	3558
145	2533	3539
146	2554	3527
147	2574	3514
148	2590	3494
149	2596	3461
150	2611	3441
151	2627	3422
152	2643	3403
153	2659	3384
154	2674	3364
155	2690	3346
156	2696	3314
157	2712	3296
158	2739	3290
159	2759	3277
160	2778	3261
161	2795	3244
162	2812	3227
163	2830	3209
164	2847	3192
165	2870	3181
166	2889	3165
167	2906	3149
168	2924	3132
169	2942	3115
170	2967	3106
171	2987	3091
172	3004	3074
173	3022	3056
174	3041	3041
175	3052	3018
176	3067	2998
177	3083	2979
178	3095	2957
179	3104	2932
180	3122	2915
181	3138	2896
182	3153	2877
183	3169	2859
184	3184	2840
185	3199	2821
186	3215	2802
187	3230	2783
188	3245	2764
189	3265	2750
190	3281	2731
191	3297	2713
192	3312	2694
193	3328	2676
194	3344	2658
195	3365	2644
196	3384	2628
197	3400	2610
198	3415	2592
199	3432	2574
200	3447	2555
201	3463	2537
202	3469	2512
203	3479	2489
204	3494	2471
205	3500	2446
206	3515	2428
207	3531	2410
208	3553	2397
209	3569	2379
210	3584	2361
211	3601	2344
212	3617	2326
213	3633	2309
214	3655	2295
215	3674	2279
216	3683	2257
217	3691	2235
218	3703	2215
219	3728	2203
220	3754	2191
221	3779	2179
222	3807	2168
223	3827	2152
224	3845	2136
225	3864	2120
226	3885	2105
227	3903	2088
228	3921	2071
229	3939	2055
230	3965	2042
231	3981	2025
232	3998	2007
233	4009	1987
234	4019	1967
235	4035	1949
236	4043	1928
237	4058	1910
238	4074	1892
239	4089	1874
240	4104	1856
241	4117	1837
242	4132	1819
243	4148	1802
244	4168	1786
245	4190	1771
246	4214	1757
247	4235	1742
248	4257	1726
249	4279	1711
250	4298	1695
251	4316	1678
252	4333	1661
253	4349	1643
254	4372	1629
255	4390	1612
256	4399	1592
257	4409	1572
258	4425	1554
259	4442	1537
260	4460	1520
261	4483	1505
262	4507	1490
263	4527	1475
264	4547	1458
265	4563	1441
266	4579	1423
267	4596	1406
268	4609	1387
269	4624	1370
270	4640	1352
271	4646	1332
272	4661	1314
273	4677	1297
274	4693	1280
275	4709	1262
276	4727	1245
277	4752	1230
278	4787	1218
279	4819	1204
280	4856	1192
281	4884	1177
282	4908	1162
283	4933	1146
284	4961	1131
285	4974	1113
286	4992	1095
287	5011	1078
288	5028	1061
289	5053	1045
290	5071	1028
291	5087	1010
292	5103	992
293	5123	975
294	5141	958
295	5157	940
296	5182	924
297	5201	907
298	5218	890
299	5236	872
300	5254	855
301	5271	837
302	5288	820
303	5305	802
304	5320	785
305	5336	767
306	5351	749
307	5367	731
308	5395	715
309	5411	698
310	5427	680
311	5443	662
312	5459	645
313	5474	627
314	5493	610
315	5512	593
316	5530	575
317	5550	558
318	5560	540
319	5579	523
320	5595	505
321	5615	488
322	5628	470
323	5645	453
324	5662	435
325	5684	418
326	5695	400
327	5719	383
328	5763	367
329	5815	352
330	5889	338
331	5920	321
332	6023	307
333	6089	291
334	6124	274
335	6147	256
336	6171	238
337	6196	219
338	6205	201
339	6225	183
340	6244	164
341	6263	146
342	6287	128
343	6305	109
344	6321	91
345	6347	73
346	6375	55
347	6393	36
348	6421	18
349	6446	0
